# OpenNGC selected deep-sky subset (Messier, named, bright, or large objects)
# display_name catalog_id ra_hours dec_degrees magnitude type constellation major_axis_arcmin minor_axis_arcmin position_angle_deg redshift messier
NGC 1425	NGC 1425	3.703186	-29.893333	10.7	G	For	4.91	2.15	130
NGC 1427	NGC 1427	3.705394	-35.392556	10.88	G	For	4.33	2.87	78	0.004673
Maia Nebula	NGC 1432	3.763775	24.367861	12	HII	Tau	60	40
NGC 1433	NGC 1433	3.700431	-47.222083	9.95	G	Hor	6.19	2.96	95	0.00359
Merope Nebula	NGC 1435	3.769469	23.764972	12	Neb	Tau	30	30
NGC 1444	NGC 1444	3.824689	52.655333	6.6	OCl	Per	3.6			-0.000123
NGC 1448	NGC 1448	3.7422	-44.644833	10.94	G	Hor	8.02	1.53	41	0.003895
NGC 1496	NGC 1496	4.075525	52.661389	9.6	OCl	Per	2.1			-0.000048
California Nebula	NGC 1499	4.054006	36.367472	5	Neb	Per	160	40
NGC 1502	NGC 1502	4.130361	62.331528	6.9	OCl	Cam	10.2			-0.000054
NGC 1512	NGC 1512	4.065078	-43.348861	10.37	G	Hor	8.43	4.02	63	0.002782
NGC 1513	NGC 1513	4.165194	49.517278	8.4	OCl	Per	5.1			-0.000049
NGC 1514	NGC 1514	4.154708	30.775917	10.19	PN	Tau	2.2			0.000199
NGC 1515	NGC 1515	4.067422	-54.100056	10.99	G	Dor	5.5	1.26	20	0.003922
NGC 1527	NGC 1527	4.140039	-47.897028	10.8	G	Hor	4.58	1.79	78	0.003633
NGC 1528	NGC 1528	4.255242	51.211472	6.4	OCl	Per	9.6			-0.000034
NGC 1532	NGC 1532	4.201203	-32.874222	10.13	G	Eri	11.27	3.09	33	0.003908
NGC 1533	NGC 1533	4.1644	-56.118444	10.65	G	Dor	3.27	2.04	149	0.002647
NGC 1535	NGC 1535	4.237714	-12.739389	9.6	PN	Eri	0.85			-0.000005
NGC 1537	NGC 1537	4.227975	-31.645417	10.72	G	Eri	4.35	2.76	102	0.00454
NGC 1543	NGC 1543	4.212014	-57.737972	10.17	G	Ret	3.66	0.86	94	0.003915
NGC 1545	NGC 1545	4.348961	50.255333	6.2	OCl	Per	4.2			-0.000044
NGC 1549	NGC 1549	4.262536	-55.59225	9.75	G	Dor	5.09	4.35	138	0.004093
NGC 1553	NGC 1553	4.269575	-55.780139	9.31	G	Dor	6.25	4.29	150	0.004026
Hind's Nebula	NGC 1555	4.366508	19.535167	9.98	RfN	Tau	1.82	1.35	74
NGC 1559	NGC 1559	4.293269	-62.783667	10.6	G	Ret	4.19	2.18	63	0.004336
NGC 1566	NGC 1566	4.33345	-54.937806	9.73	G	Dor	7.23	5	45	0.005036
NGC 1574	NGC 1574	4.366339	-56.97475	10.24	G	Ret	4.13	2.32	2
NGC 1582	NGC 1582	4.529664	43.784833	7	OCl	Per	7.8			0.000018
NGC 1600	NGC 1600	4.527761	-5.08625	10.97	G	Eri	3.33	2.02	5	0.015824
NGC 1605	NGC 1605	4.581189	45.271389	10.7	OCl	Per	3.3			-0.000004
NGC 1617	NGC 1617	4.527647	-54.602278	10.37	G	Dor	5.24	2.5	112	0.003552
NGC 1637	NGC 1637	4.691161	-2.857972	10.85	G	Eri	3.18	2.74	16	0.00238
NGC 1647	NGC 1647	4.765436	19.095111	6.4	OCl	Tau	27			-0.000008
NGC 1662	NGC 1662	4.808042	10.930389	6.4	OCl	Ori	13.8			-0.000046
NGC 1664	NGC 1664	4.851508	43.676167	7.6	OCl	Aur	11.4			0.000022
NGC 1672	NGC 1672	4.761806	-59.247194	10.16	G	Dor	6.14	5.46	95	0.004464
NGC 1735	NGC 1735	4.905461	-67.099556	10.76	OCl	Dor	1.8	1.5	140
NGC 1746	NGC 1746	5.063942	23.767639	6.1	OCl	Tau	18			0.000007
NGC 1747	NGC 1747	4.919717	-67.168889	9.37	OCl	Dor	4.4	4.4
NGC 1755	NGC 1755	4.920797	-68.204056	9.85	GCl	Dor	2.2	1.9	130
NGC 1761	NGC 1761	4.943814	-66.478861	9.94	*Ass	Dor	4.2	3	110
NGC 1763	NGC 1763	4.946997	-66.409083	9.4	Cl+N	Dor	5.2	3.6	70
NGC 1767	NGC 1767	4.940917	-69.400556	10.61	OCl	Dor	1.3	1.2	30
NGC 1772	NGC 1772	4.947997	-69.556056	10.97	OCl	Dor	1.5	1.4	30
NGC 1774	NGC 1774	4.968578	-67.242333	10.76	OCl	Dor	1.7	1.5	60
NGC 1778	NGC 1778	5.134917	37.022833	7.7	OCl	Aur	4.5			0.000025
NGC 1782	NGC 1782	4.964192	-69.392194	10.5	OCl	Dor	1.2	1.1	110
NGC 1783	NGC 1783	4.985781	-65.987278	10.93	GCl	Dor	5.3	4.7	60
NGC 1786	NGC 1786	4.985506	-67.745222	10.1	GCl	Dor	2	2
NGC 1787	NGC 1787	5.029003	-65.823306	10.92	OCl	Dor	24	14	140
NGC 1788	NGC 1788	5.114783	-3.340972	5.8	RfN	Ori	2	2
NGC 1792	NGC 1792	5.087347	-37.98075	10.16	G	Col	5.52	2.76	136	0.004059
NGC 1807	NGC 1807	5.179175	16.51275	7	OCl	Tau	5.4
NGC 1808	NGC 1808	5.128428	-37.513056	10.21	G	Col	5.42	1.83	135	0.003343
NGC 1817	NGC 1817	5.207297	16.684083	7.7	OCl	Tau	9.3			0.000221
NGC 1818	NGC 1818	5.070767	-66.4345	9.7	GCl	Dor	3.1	2.7	130
NGC 1835	NGC 1835	5.085161	-69.403861	10.6	GCl	Dor	2.3	2	80
NGC 1845	NGC 1845	5.095836	-70.581611	10.2	*Ass	Men	8.9	5.6	30
NGC 1848	NGC 1848	5.124211	-71.195361	9.73	OCl	Men	2.2	2	140
NGC 1850	NGC 1850	5.145758	-68.761667	8.96	GCl	Dor	3	3
NGC 1851	NGC 1851	5.235203	-40.046611	7.23	GCl	Col	9			0.001069
NGC 1854	NGC 1854	5.155525	-68.847361	10.39	GCl	Dor	2.3	2.3
NGC 1856	NGC 1856	5.158158	-69.127583	10.06	GCl	Dor	2.7	2.4	90
NGC 1857	NGC 1857	5.334878	39.343611	7	OCl	Aur	4.5			0.000002
NGC 1858	NGC 1858	5.164428	-68.89125	9.88	Cl+N	Dor	4.4	2.6	170
NGC 1866	NGC 1866	5.227528	-65.465583	9.73	GCl	Dor	5.5	5.5
NGC 1871	NGC 1871	5.231044	-67.452639	10.09	Cl+N	Dor	2.3	1.6	60
NGC 1873	NGC 1873	5.232131	-67.334361	10.44	Cl+N	Dor	2.8	2.2	120
NGC 1893	NGC 1893	5.378928	33.412028	7.5	OCl	Aur	6			-0.000012
M 79	M 79 · NGC 1904	5.402942	-24.524222	8.16	GCl	Lep	7.2			0.000687	M 79
NGC 1907	NGC 1907	5.467931	35.325667	8.2	OCl	Aur	5.4			0.000009
the Witch Head Nebula	NGC 1909	5.082067	-7.265639	12	RfN	Eri	180	60
NGC 1910	NGC 1910	5.311964	-69.231917	9.65	Cl+N	Dor	3.6	2.8	120
M 38	M 38 · NGC 1912	5.478469	35.854917	6.4	OCl	Aur	9.6			-0.000002	M 38
NGC 1916	NGC 1916	5.310131	-69.406806	10.38	GCl	Dor	2.1	2.1
NGC 1931	NGC 1931	5.523708	34.246556	10.1	Cl+N	Aur	4.8
NGC 1933	NGC 1933	5.374256	-66.152167	13.8	OCl	Dor	1.3	1.3
NGC 1934	NGC 1934	5.363303	-67.937167	10.5	Cl+N	Dor	1.9	1.3	150
NGC 1947	NGC 1947	5.446558	-63.760028	10.47	G	Dor	3.48	3.18	89	0.003803
NGC 1948	NGC 1948	5.429511	-66.266806	10.61	Cl+N	Dor	7	5.7	30
NGC 1951	NGC 1951	5.435228	-66.59725	10.58	OCl	Dor	1.7	1.5	20
Crab Nebula	M 1 · NGC 1952	5.575547	22.014472	8.4	SNR	Tau	8	4			M 1
NGC 1955	NGC 1955	5.4361	-67.497389	8.87	HII	Dor	4	3.6	20
M 36	M 36 · NGC 1960	5.604928	34.14075	6	OCl	Aur	7.2			-0.000004	M 36
NGC 1964	NGC 1964	5.556044	-21.945778	10.91	G	Lep	5.16	2.33	31	0.005538
NGC 1967	NGC 1967	5.445364	-69.101528	10.81	OCl	Dor	0.95	0.9	100
NGC 1968	NGC 1968	5.456142	-67.463833	8.22	*Ass	Dor	5	2.7	70
NGC 1970	NGC 1970	5.447964	-68.836667	10.28	OCl	Dor	1.5	1.5
NGC 1973	NGC 1973	5.584661	-4.731778	7	Neb	Ori	5	5
NGC 1974	NGC 1974	5.466394	-67.424139	10.3	OCl	Dor	1.6	1.6
NGC 1975	NGC 1975	5.5883	-4.685222	7	Neb	Ori	10	5
Great Orion Nebula	M 42 · NGC 1976	5.587911	-5.389667	4	Cl+N	Ori	90	60		0.000093	M 42
the Running Man Nebula	NGC 1977	5.587722	-4.844333	12	Cl+N	Ori	10.2
NGC 1978	NGC 1978	5.479203	-66.235917	10.7	GCl	Dor	4	2.7	160
Lower Sword	NGC 1980	5.590553	-5.909889	2.5	Cl+N	Ori	9.3			0.000077
Upper Sword	NGC 1981	5.585997	-4.425056	4.2	Cl+N	Ori	9			0.000093
Mairan's Nebula	M 43 · NGC 1982	5.59205	-5.267472	9	HII	Ori	20	15			M 43
NGC 1984	NGC 1984	5.461364	-69.134333	9.99	OCl	Dor	1.5	1.2	60
NGC 1999	NGC 1999	5.607042	-6.715861	9.5	RfN	Ori	2	2
NGC 2002	NGC 2002	5.50575	-66.885	10.84	GCl	Dor	1.9	1.7	20	0.001031
NGC 2004	NGC 2004	5.511875	-67.286444	9.6	GCl	Dor	3	2.8	90
NGC 2006	NGC 2006	5.5225	-66.965278	10.88	*Ass	Dor	1.6	1.4	140
NGC 2011	NGC 2011	5.538947	-67.523139	10.58	OCl	Dor	1	1
NGC 2014	NGC 2014	5.538853	-67.689833	8.97	Neb	Dor	5.1	3.5	60
NGC 2015	NGC 2015	5.535136	-69.243028	10.43	*Ass	Dor	4.7	4	110
NGC 2018	NGC 2018	5.523581	-71.069056	10.89	HII	Men	2.8	1.7	170
NGC 2019	NGC 2019	5.532406	-70.159583	10.86	GCl	Men	1.5	1.5		0.000936
NGC 2024	NGC 2024	5.695158	-1.856278	12	Neb	Ori	30	30		0.000029
NGC 2025	NGC 2025	5.542678	-71.7155	10.94	OCl	Men	1.9	1.9
NGC 2027	NGC 2027	5.583253	-66.916306	10.97	OCl	Dor	4.6	2.8	100
NGC 2031	NGC 2031	5.561617	-70.986778	10.83	GCl	Men	3.3	2.8	150
NGC 2035	NGC 2035	5.592	-67.584167	10.99	Neb	Dor	1.8	1.3	20
